Gene	NC_1	NC_2	NC_3	BeforeSurgery_1	BeforeSurgery_2	BeforeSurgery_3	AfterSurgery_1	AfterSurgery_2	AfterSurgery_3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRIM36	-0.131162717021244	-0.107719868111799	-0.125184976770054	1.30282864480126	0.760146780162739	0.518501217039947	-0.162616808095781	2.02872778084347	-0.182548481818751	2.5536112673674	-3.97378391411555	2.32143487960642	-1.71177918839114	0.0869373687640278	NA
TRIM37	-1.07824171302916	-1.05770732337647	-1.07284177427577	-1.10947264432017	-0.332167476624545	-1.12007004747958	-1.10889748754755	0.526941046431869	-1.12289508014388	1.78743093275924	-3.46104020153851	3.4068046242165	-1.01591977917856	0.309667589184591	NA
TRIM38	0.687146421422106	0.248580105036703	0.232039331104222	1.74324462571777	1.45409035585762	0.182557117183508	0.590049757449739	1.93430785135558	0.527324344580689	2.76450108416977	-3.05492011378559	1.94053402443771	-1.57426774038182	0.115425564445158	NA
TRIM39	-0.607486221425599	-0.570525952098786	-0.603664962834731	0.646539840974791	0.392087339181024	0.552672790759708	-0.62740277577614	-0.626704646563518	-0.639845710372484	1.31521848059342	-3.02556277379408	2.80827705449258	-1.07737332004116	0.281313518446514	NA
TRIM4	-0.941166032593512	-0.919014378917893	-0.93534798033833	-0.970570610117611	0.668991465947734	-0.981484654243901	-0.970179313238794	0.159564591315658	-0.984476880055746	1.87971779042507	-3.54493438374796	3.36023631302331	-1.05496579809248	0.29144096730869	NA
TRIM41	2.20403212929706	2.30045312649267	2.64347673324265	2.4400124453608	2.20973745655561	3.12237685302281	2.07205058893115	2.34063314184888	2.33059297494934	5.76508761651455	-0.196364529333613	0.955054372547824	-0.205605602128982	0.837099001157729	0.921610989112616
TRIM44	1.19324442470727	0.769081282659438	0.321319250992442	0.621974972801579	1.21630643559535	0.802856044484637	1.05326980643818	1.058317898841	0.570531552290255	1.98570761757269	-0.304285562527232	1.39108798322503	-0.218739264659444	0.82685316078364	NA
TRIM5	2.37929484513666	2.40467056729508	3.01568344029103	4.15784592645398	5.79233312531833	3.27565526936578	4.22837589668775	5.30137646452359	3.38560561433777	30.115225778514	-5.1015782307947	1.50103069886138	-3.39871678484961	0.000677027843815338	0.0186352935295523
TRIM51	0.828754671114919	0.363075659993243	0.341712846864518	0.720219284917741	2.18591846219554	0.941474076773483	0.722116953880736	2.92820929274773	0.652544783944093	4.24777603021769	-3.70381396609415	1.90074204558159	-1.9486147395455	0.0513414505706791	0.181908070556458
TRIM56	2.34298862501895	3.0517162235181	1.27199440403909	1.89892451030897	2.6477604148891	1.83047735499941	2.39188143151481	2.18363512249358	1.6520898242589	5.52169476946305	0.678482808205934	1.19168328387441	0.569348263407743	0.569119819626579	0.76763639605866
TRIM58	1.50120191078013	2.21055908441909	2.39240722490624	2.07500436367517	1.74777593697649	1.99308714800114	2.0779178486317	1.95726556870606	1.85297441552132	4.17547695875523	0.376021646303941	0.964130077031847	0.390011322394955	0.69652817454079	0.843810472872688
TRIM72	-0.658892331774268	-0.619609783377745	-0.653629879522953	-0.295364314543526	0.125774671423802	-0.337356746075013	-0.67336563534941	0.356532851792444	-0.34882021068091	0.978780926261096	-2.59945433375707	2.19943111063666	-1.18187576832293	0.237254998105909	NA
TRIM8	-0.308204040583345	-0.286774660150998	0.242954895312888	-0.337447864047406	0.4339900264023	-0.351365101827433	1.00837901613015	1.72894815651522	-0.355145403176248	2.13527695266123	-2.652531363016	2.47905900210641	-1.0699750835951	0.284630524230331	NA
TRIO	1.8972277384787	1.2977984773669	1.27783187196325	3.37280928222758	2.95551016816084	2.61537010340525	2.93069732757676	1.23752414270795	2.72163875978348	7.23169941804102	-3.62356361876074	1.63646238775511	-2.21426636253555	0.0268104611191541	0.127960869011661
TRIOBP	4.3464116549812	3.63473540007928	4.3805737769355	5.41345819043571	4.73633729893691	4.91696862534019	3.10626352686567	4.90274070412902	4.1834332150164	27.3461759103426	-1.11831403253481	1.06646542904634	-1.04861723791163	0.294354318909147	0.525030361913688
TRIP10	0.787917526565746	0.810007058181294	0.793497110381226	1.93221333772275	1.86151250179827	1.83958399077766	1.67976773229	2.31443889051395	1.81377518506233	3.70444923548371	-4.51284092819409	1.52710307952639	-2.95516457840795	0.00312502298497059	NA
TRIP11	-0.730751593574186	-0.680841732632262	-0.717676804666422	-0.752775330393841	0.381417347758681	-0.761394265230282	-0.0352592693360424	0.527220928712882	-0.763721049199415	1.15154968831426	-2.83179540694991	2.88601592987754	-0.981212673718703	0.326487875589077	NA
TRIP12	-1.2133836425546	-1.17970128410957	-1.20455994081965	-1.26410292878919	-0.632590016244135	-0.353232535013007	-1.26317219422359	-1.26129971044689	-1.28992165643388	0.56789378115561	-1.82548934206519	3.48301517969897	-0.524111796211856	0.600200784383156	NA
TRMT10B	-1.05957617152721	-1.01318299828942	0.290132259159312	-1.12943555018733	-1.1566325572332	-1.14305111270718	-1.1281535814674	0.087025323911997	-1.14535016656394	0.991259268480234	1.46301288754961	3.37767279057103	0.433142278208149	0.664911409861257	NA
TRMT11	0.435267590346535	-1.00131968542409	-1.03617668948525	-1.11966833578266	-0.0132379578416834	-1.12910129210666	-1.11836325245048	-1.11573764096349	-1.13145395809995	1.02719947766151	1.9260537360049	3.37528058178613	0.570635148496505	0.568246987497073	NA
TRMT112	-0.949576104563058	-0.900191823044903	-0.93663900067165	-1.00840516492564	0.590019619661257	-1.01766440617765	-1.00807022003079	-1.00739368707061	0.232490251551168	1.12598601883063	-2.81074072211655	3.45899255309997	-0.812589411213837	0.416453504550922	NA
TRMT12	-0.667687558599232	-0.619308510131011	-0.659945364726679	-0.690487279950511	0.510343435763455	0.00329860670530907	-0.690096437457474	1.02697058207256	-0.704217623296135	1.43867416383647	-3.15196010482161	2.82942114346964	-1.11399468124298	0.265281468426516	NA
TRMT5	0.840627927502186	0.455966717704648	1.14390107801626	0.997383833818962	1.54038212769697	0.709111398842281	0.753252260937065	1.82205015671532	1.09913851425814	2.47925454142058	-1.2638388213971	1.46124525360502	-0.864905338976529	0.387090746980433	NA
TRNT1	0.0604763433151299	0.0813870480482106	0.0657862960024659	0.0323119560850127	1.11683281407347	1.16133348934245	0.0327924769560708	1.61345887796913	1.46639529514466	2.39854742013767	-3.89169242747737	2.20771285605328	-1.76277110350054	0.0779391029286185	NA
TROVE2	4.2281861221059	2.38291016185682	3.41606622601257	4.07833637093107	3.30078019196533	4.11654281456912	3.56340276175847	3.30967398880114	4.26250647928351	15.1172236130441	-0.471017181468178	1.08504905866942	-0.434097590062682	0.664217575451581	0.824167575983784
TRPC4AP	-1.15470122884892	-1.11848714472845	-1.14521429587762	-1.20923281698658	-0.402690547101558	-0.263495417338153	-1.20823212400045	-1.20621889546971	-1.23000159011538	0.63735266935805	-1.99223884762648	3.4777338598365	-0.572855465058544	0.566742560726338	NA
TRPC6	-1.09894058596512	-1.05855267020606	-1.08836024246169	-1.15975717822201	-1.18491086067992	-1.17505418850245	-1.15864115099099	-0.0512466450701317	-0.170044365721739	0.766198847618834	-2.23898047370689	3.47094358630271	-0.645063919374119	0.518885764293528	NA
TRPM2	-0.682475722731349	-0.635522230395349	-0.672941588768694	0.411884143392537	-0.723961024319441	0.324890325548174	0.414969250864298	-0.700250362720842	-0.712375707763842	1.1912291044296	-2.87244140842757	2.87179605904056	-1.00022471978293	0.317201768864809	NA
TRPM3	0.647236136425257	0.12115358871777	0.0947942203462051	0.0353469255827055	2.58477083712801	0.468771035247515	0.0362313159415909	3.08210781651304	0.00372581954068052	8.72678648073206	-4.76771130530926	2.59516542643467	-1.83715121076475	0.0661875759053487	0.210224835371703
TRPM4	-0.690973517887058	-0.639329205588264	-0.679628322178542	-0.7134947524778	-0.741258674748048	0.381170837905801	0.0531781089118264	1.00563688373901	-0.72705676196278	1.4101243292783	-3.11548342661134	2.86107869832974	-1.08891916479967	0.276189534099327	NA
TRPM6	-0.344865027361163	-0.330552845284912	-0.341243905977339	0.499654111953861	0.683454524324317	-0.3727689504261	-0.363587280321307	0.507687090941005	0.563940685951869	1.38879847862753	-3.10658872453921	2.31269294127837	-1.34327764360365	0.179182088403816	NA
TRPM7	1.57235440199691	0.706728242976751	2.05955340919852	1.84151644041612	1.0712632618751	2.02846598138774	0.658271157030014	1.43298671802969	1.15525308121222	3.32164438711562	0.310486135310531	1.43153989012654	0.216889614779149	0.82829437118033	NA
TRPS1	3.25385202363037	4.35756639908185	4.16329279860722	2.25825862188663	3.82855675354675	3.17520832704232	3.26469219309343	4.63100017080921	3.15123343222609	16.2090180259931	0.693240792334853	1.222126477714	0.567241447572243	0.570550151827639	0.767832719060772
TRPV2	-1.0936655856705	-1.052848404664	-1.08297278838759	-1.15512857051864	-1.17965199543273	-0.136283985045924	-1.15400068152907	-0.041312855126221	-1.17130441899772	0.780598254722138	-2.26436518529303	3.4703078154931	-0.652496926982623	0.514080654630416	NA
TRPV3	-1.14921887594622	-1.11211934837393	-1.13949998508115	-1.2050837751093	-0.253855304493718	-1.22496196830964	-1.20405861492833	-0.32405495783334	-1.22637352311642	0.663105294642582	-2.04244269142991	3.47625797568232	-0.587540598458898	0.556840692418256	NA
TRPV6	3.2274907661474	2.29583548839891	3.72598093721339	4.08689786230171	4.02675198292103	3.59994743678115	3.87905487135853	3.61739042879963	3.12617696293323	13.4098213909594	-1.0957103864857	0.997291755182234	-1.09868589687226	0.271905096203629	0.50248648623962
